periode,geo,type_matiere,producteur,volume_tonnes
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,0.0
2022,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,0.0
2022,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,Autres matières organiques,Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,Autres matières organiques,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,0.0
2022,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,0.0
2022,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,0.0
